timestamp,generation,hour,day,weekday,month,anomaly_iforest
2024-03-25 14:00:00,73,14,25,Monday,March,False
2024-03-25 13:00:00,106,13,25,Monday,March,False
2024-03-25 12:00:00,97,12,25,Monday,March,False
2024-03-25 11:00:00,113,11,25,Monday,March,False
2024-03-25 10:00:00,71,10,25,Monday,March,False
2024-03-25 09:00:00,74,9,25,Monday,March,False
2024-03-25 08:00:00,30,8,25,Monday,March,False
2024-03-25 07:00:00,16,7,25,Monday,March,False
2024-03-25 06:00:00,29,6,25,Monday,March,False
2024-03-25 05:00:00,143,5,25,Monday,March,False
2024-03-25 04:00:00,166,4,25,Monday,March,False
2024-03-25 03:00:00,1528,3,25,Monday,March,False
2024-03-25 02:00:00,6063,2,25,Monday,March,False
2024-03-25 01:00:00,8234,1,25,Monday,March,False
2024-03-25 00:00:00,9329,0,25,Monday,March,False
2024-03-24 23:00:00,10684,23,24,Sunday,March,False
2024-03-24 22:00:00,11260,22,24,Sunday,March,False
2024-03-24 21:00:00,11051,21,24,Sunday,March,False
2024-03-24 20:00:00,12167,20,24,Sunday,March,False
2024-03-24 19:00:00,12161,19,24,Sunday,March,False
2024-03-24 18:00:00,11165,18,24,Sunday,March,False
2024-03-24 17:00:00,8082,17,24,Sunday,March,False
2024-03-24 16:00:00,2891,16,24,Sunday,March,False
2024-03-24 15:00:00,347,15,24,Sunday,March,False
2024-03-24 14:00:00,22,14,24,Sunday,March,False
2024-03-24 13:00:00,3,13,24,Sunday,March,False
2024-03-24 03:00:00,1630,3,24,Sunday,March,False
2024-03-24 02:00:00,6281,2,24,Sunday,March,False
2024-03-24 01:00:00,8036,1,24,Sunday,March,False
2024-03-24 00:00:00,9795,0,24,Sunday,March,False
2024-03-23 23:00:00,10668,23,23,Saturday,March,False
2024-03-23 22:00:00,12000,22,23,Saturday,March,False
2024-03-23 21:00:00,12486,21,23,Saturday,March,False
2024-03-23 20:00:00,11899,20,23,Saturday,March,False
2024-03-23 19:00:00,10477,19,23,Saturday,March,False
2024-03-23 18:00:00,7522,18,23,Saturday,March,False
2024-03-23 17:00:00,4943,17,23,Saturday,March,False
2024-03-23 16:00:00,1581,16,23,Saturday,March,False
2024-03-23 15:00:00,73,15,23,Saturday,March,False
2024-03-23 08:00:00,27,8,23,Saturday,March,False
2024-03-23 07:00:00,47,7,23,Saturday,March,False
2024-03-23 06:00:00,69,6,23,Saturday,March,False
2024-03-23 05:00:00,104,5,23,Saturday,March,False
2024-03-23 04:00:00,12,4,23,Saturday,March,False
2024-03-23 03:00:00,1962,3,23,Saturday,March,False
2024-03-23 02:00:00,8691,2,23,Saturday,March,False
2024-03-23 01:00:00,11598,1,23,Saturday,March,False
2024-03-23 00:00:00,13207,0,23,Saturday,March,False
2024-03-22 23:00:00,14028,23,22,Friday,March,False
2024-03-22 22:00:00,13954,22,22,Friday,March,False
2024-03-22 21:00:00,13947,21,22,Friday,March,False
2024-03-22 20:00:00,14212,20,22,Friday,March,True
2024-03-22 19:00:00,14583,19,22,Friday,March,True
2024-03-22 18:00:00,14007,18,22,Friday,March,False
2024-03-22 17:00:00,9678,17,22,Friday,March,False
2024-03-22 16:00:00,3258,16,22,Friday,March,False
2024-03-22 15:00:00,198,15,22,Friday,March,False
2024-03-22 13:00:00,9,13,22,Friday,March,False
2024-03-22 12:00:00,48,12,22,Friday,March,False
2024-03-22 06:00:00,0,6,22,Friday,March,False
2024-03-22 04:00:00,34,4,22,Friday,March,False
2024-03-22 03:00:00,2282,3,22,Friday,March,False
2024-03-22 02:00:00,8694,2,22,Friday,March,False
2024-03-22 01:00:00,11018,1,22,Friday,March,False
2024-03-22 00:00:00,12434,0,22,Friday,March,False
2024-03-21 23:00:00,12627,23,21,Thursday,March,False
2024-03-21 22:00:00,12974,22,21,Thursday,March,False
2024-03-21 21:00:00,13058,21,21,Thursday,March,False
2024-03-21 20:00:00,13119,20,21,Thursday,March,False
2024-03-21 19:00:00,13523,19,21,Thursday,March,False
2024-03-21 18:00:00,13670,18,21,Thursday,March,False
2024-03-21 17:00:00,12174,17,21,Thursday,March,False
