timestamp,generation,hour,day,weekday,month,rolling_mean,rolling_std,z_score,anomaly
2024-03-01 07:00:00,17,7,1,Friday,March,4339.375,5249.9569920598615,-0.823316268407007,False
2024-03-01 06:00:00,15,6,1,Friday,March,4338.416666666667,5250.778343269204,-0.8233858647277902,False
2024-03-01 05:00:00,14,5,1,Friday,March,4336.583333333333,5252.3452974065185,-0.8229815612975256,False
2024-03-01 04:00:00,18,4,1,Friday,March,4334.833333333333,5253.83892494577,-0.8216531559116825,False
2024-03-01 03:00:00,833,3,1,Friday,March,4367.75,5228.192548681323,-0.6760940740201983,False
2024-03-01 02:00:00,5813,2,1,Friday,March,4607.833333333333,5153.103730565782,0.23387199825188584,False
2024-03-01 01:00:00,9328,1,1,Friday,March,4966.291666666667,5170.454344506212,0.843583182968785,False
2024-03-01 00:00:00,10961,0,1,Friday,March,5204.791666666667,5313.521831992219,1.0833131989174751,False
2024-02-29 23:00:00,12450,23,29,Thursday,February,5355.791666666667,5470.090603964406,1.2969087437403433,False
2024-02-29 22:00:00,13253,22,29,Thursday,February,5470.416666666667,5609.660161113897,1.3873537985923132,False
2024-02-29 21:00:00,13542,21,29,Thursday,February,5560.833333333333,5725.215664566452,1.39403773312198,False
2024-02-29 20:00:00,13755,20,29,Thursday,February,5635.666666666667,5823.37718142157,1.3942654031129214,False
2024-02-29 19:00:00,13040,19,29,Thursday,February,5664.583333333333,5859.756308307847,1.2586558687107767,False
2024-02-29 18:00:00,12669,18,29,Thursday,February,5672.041666666667,5868.928192491639,1.1922037727919095,False
2024-02-29 17:00:00,7831,17,29,Thursday,February,5519.708333333333,5757.829251883088,0.4014171948414002,False
2024-02-29 16:00:00,1288,16,29,Thursday,February,5147.291666666667,5729.174995461665,-0.6736208389032947,False
2024-02-29 15:00:00,23,15,29,Thursday,February,4852.791666666667,5806.061667356359,-0.8318533187171242,False
2024-02-29 03:00:00,1030,3,29,Thursday,February,4835.083333333333,5817.512242222252,-0.6540739709521979,False
2024-02-29 02:00:00,7616,2,29,Thursday,February,5148.333333333333,5753.402945151273,0.4289055868659978,False
2024-02-29 01:00:00,11538,1,29,Thursday,February,5628.541666666667,5787.015585730934,1.0211581852145528,False
2024-02-29 00:00:00,12854,0,29,Thursday,February,6163.041666666667,5839.229568591231,1.1458632093047831,False
2024-02-28 23:00:00,13367,23,28,Wednesday,February,6719.75,5863.562941553985,1.1336537300371026,False
2024-02-28 22:00:00,13549,22,28,Wednesday,February,7283.958333333333,5841.093706990206,1.0725802359871595,False
2024-02-28 21:00:00,13913,21,28,Wednesday,February,7863.208333333333,5777.460619993851,1.0471368070827467,False
2024-02-28 20:00:00,13520,20,28,Wednesday,February,8425.833333333334,5635.899524412708,0.9038781909791953,False
2024-02-28 19:00:00,13013,19,28,Wednesday,February,8967.416666666666,5412.617464669067,0.7474356648591801,False
2024-02-28 18:00:00,12743,18,28,Wednesday,February,9497.791666666666,5112.465821968605,0.6347638197185511,False
2024-02-28 17:00:00,7463,17,28,Wednesday,February,9808.0,4723.311669838738,-0.4964736955586211,False
2024-02-28 16:00:00,1237,16,28,Wednesday,February,9824.833333333334,4690.54134881333,-1.8308831954985298,False
2024-02-28 15:00:00,46,15,28,Wednesday,February,9584.541666666666,5039.720963455496,-1.8926725776751228,False
2024-02-28 03:00:00,841,3,28,Wednesday,February,9230.916666666666,5346.899149459693,-1.569118180864599,False
2024-02-28 02:00:00,6781,2,28,Wednesday,February,9056.75,5356.1646259240415,-0.4248842518740524,False
2024-02-28 01:00:00,11251,1,28,Wednesday,February,9006.791666666666,5328.659901515063,0.4211581100710242,False
2024-02-28 00:00:00,12800,0,28,Wednesday,February,8987.916666666666,5313.746610088961,0.7174002851576533,False
2024-02-27 23:00:00,12665,23,27,Tuesday,February,8951.375,5283.9995952711915,0.7028056934984312,False
2024-02-27 22:00:00,12569,22,27,Tuesday,February,8901.958333333334,5242.505122049017,0.6994827055568835,False
2024-02-27 21:00:00,12528,21,27,Tuesday,February,8880.625,5225.9496562617815,0.6979353495358841,False
2024-02-27 20:00:00,12383,20,27,Tuesday,February,8868.708333333334,5217.254329368931,0.6735902535715079,False
2024-02-27 19:00:00,12795,19,27,Tuesday,February,9075.541666666666,5272.431540192297,0.7054540784417046,False
2024-02-27 18:00:00,11696,18,27,Tuesday,February,9509.208333333334,5026.337952782297,0.4350665807212946,False
2024-02-27 17:00:00,6551,17,27,Tuesday,February,9781.208333333334,4653.474232546157,-0.6941498269704439,False
2024-02-27 16:00:00,1091,16,27,Tuesday,February,9783.75,4648.500620817336,-1.870011582029556,False
2024-02-27 15:00:00,137,15,27,Tuesday,February,9472.125,5034.778336405601,-1.8541283004455915,False
2024-02-27 14:00:00,74,14,27,Tuesday,February,8994.458333333334,5363.353023096871,-1.6632241612510048,False
2024-02-27 13:00:00,73,13,27,Tuesday,February,8461.916666666666,5593.076938942245,-1.499875070242314,False
2024-02-27 12:00:00,33,12,27,Tuesday,February,7906.333333333333,5744.851635929391,-1.3705024659108713,False
2024-02-27 11:00:00,43,11,27,Tuesday,February,7343.583333333333,5828.968846960892,-1.25246566331191,False
2024-02-27 10:00:00,67,10,27,Tuesday,February,6766.666666666667,5835.690903298476,-1.1480502956179277,False
