period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-03-26T20,CAL,California,SUN,Solar,13786,megawatthours
2024-03-26T19,CAL,California,SUN,Solar,13900,megawatthours
2024-03-26T18,CAL,California,SUN,Solar,13897,megawatthours
2024-03-26T17,CAL,California,SUN,Solar,11736,megawatthours
2024-03-26T16,CAL,California,SUN,Solar,4403,megawatthours
2024-03-26T15,CAL,California,SUN,Solar,400,megawatthours
2024-03-26T14,CAL,California,SUN,Solar,32,megawatthours
2024-03-26T13,CAL,California,SUN,Solar,30,megawatthours
2024-03-26T12,CAL,California,SUN,Solar,68,megawatthours
2024-03-26T11,CAL,California,SUN,Solar,109,megawatthours
2024-03-26T10,CAL,California,SUN,Solar,116,megawatthours
2024-03-26T09,CAL,California,SUN,Solar,109,megawatthours
2024-03-26T08,CAL,California,SUN,Solar,68,megawatthours
2024-03-26T07,CAL,California,SUN,Solar,73,megawatthours
2024-03-26T06,CAL,California,SUN,Solar,64,megawatthours
2024-03-26T05,CAL,California,SUN,Solar,42,megawatthours
2024-03-26T04,CAL,California,SUN,Solar,58,megawatthours
2024-03-26T03,CAL,California,SUN,Solar,2017,megawatthours
2024-03-26T02,CAL,California,SUN,Solar,7284,megawatthours
2024-03-26T01,CAL,California,SUN,Solar,10885,megawatthours
2024-03-26T00,CAL,California,SUN,Solar,12256,megawatthours
2024-03-25T23,CAL,California,SUN,Solar,12479,megawatthours
2024-03-25T22,CAL,California,SUN,Solar,12488,megawatthours
2024-03-25T21,CAL,California,SUN,Solar,12628,megawatthours
2024-03-25T20,CAL,California,SUN,Solar,12958,megawatthours
2024-03-25T19,CAL,California,SUN,Solar,13687,megawatthours
2024-03-25T18,CAL,California,SUN,Solar,12979,megawatthours
2024-03-25T17,CAL,California,SUN,Solar,11154,megawatthours
2024-03-25T16,CAL,California,SUN,Solar,4618,megawatthours
2024-03-25T15,CAL,California,SUN,Solar,463,megawatthours
2024-03-25T14,CAL,California,SUN,Solar,73,megawatthours
2024-03-25T13,CAL,California,SUN,Solar,106,megawatthours
2024-03-25T12,CAL,California,SUN,Solar,97,megawatthours
2024-03-25T11,CAL,California,SUN,Solar,113,megawatthours
2024-03-25T10,CAL,California,SUN,Solar,71,megawatthours
2024-03-25T09,CAL,California,SUN,Solar,74,megawatthours
2024-03-25T08,CAL,California,SUN,Solar,30,megawatthours
2024-03-25T07,CAL,California,SUN,Solar,16,megawatthours
2024-03-25T06,CAL,California,SUN,Solar,29,megawatthours
2024-03-25T05,CAL,California,SUN,Solar,143,megawatthours
2024-03-25T04,CAL,California,SUN,Solar,166,megawatthours
2024-03-25T03,CAL,California,SUN,Solar,1528,megawatthours
2024-03-25T02,CAL,California,SUN,Solar,6063,megawatthours
2024-03-25T01,CAL,California,SUN,Solar,8234,megawatthours
2024-03-25T00,CAL,California,SUN,Solar,9329,megawatthours
2024-03-24T23,CAL,California,SUN,Solar,10684,megawatthours
2024-03-24T22,CAL,California,SUN,Solar,11260,megawatthours
2024-03-24T21,CAL,California,SUN,Solar,11051,megawatthours
2024-03-24T20,CAL,California,SUN,Solar,12167,megawatthours
2024-03-24T19,CAL,California,SUN,Solar,12161,megawatthours
2024-03-24T18,CAL,California,SUN,Solar,11165,megawatthours
2024-03-24T17,CAL,California,SUN,Solar,8082,megawatthours
2024-03-24T16,CAL,California,SUN,Solar,2891,megawatthours
2024-03-24T15,CAL,California,SUN,Solar,347,megawatthours
2024-03-24T14,CAL,California,SUN,Solar,22,megawatthours
2024-03-24T13,CAL,California,SUN,Solar,3,megawatthours
2024-03-24T12,CAL,California,SUN,Solar,-2,megawatthours
2024-03-24T11,CAL,California,SUN,Solar,-21,megawatthours
2024-03-24T10,CAL,California,SUN,Solar,-19,megawatthours
2024-03-24T09,CAL,California,SUN,Solar,-18,megawatthours
2024-03-24T08,CAL,California,SUN,Solar,-22,megawatthours
2024-03-24T07,CAL,California,SUN,Solar,-25,megawatthours
2024-03-24T06,CAL,California,SUN,Solar,-20,megawatthours
2024-03-24T05,CAL,California,SUN,Solar,-35,megawatthours
2024-03-24T04,CAL,California,SUN,Solar,-2,megawatthours
2024-03-24T03,CAL,California,SUN,Solar,1630,megawatthours
2024-03-24T02,CAL,California,SUN,Solar,6281,megawatthours
2024-03-24T01,CAL,California,SUN,Solar,8036,megawatthours
2024-03-24T00,CAL,California,SUN,Solar,9795,megawatthours
2024-03-23T23,CAL,California,SUN,Solar,10668,megawatthours
2024-03-23T22,CAL,California,SUN,Solar,12000,megawatthours
2024-03-23T21,CAL,California,SUN,Solar,12486,megawatthours
2024-03-23T20,CAL,California,SUN,Solar,11899,megawatthours
2024-03-23T19,CAL,California,SUN,Solar,10477,megawatthours
2024-03-23T18,CAL,California,SUN,Solar,7522,megawatthours
2024-03-23T17,CAL,California,SUN,Solar,4943,megawatthours
2024-03-23T16,CAL,California,SUN,Solar,1581,megawatthours
2024-03-23T15,CAL,California,SUN,Solar,73,megawatthours
2024-03-23T14,CAL,California,SUN,Solar,-31,megawatthours
2024-03-23T13,CAL,California,SUN,Solar,-47,megawatthours
2024-03-23T12,CAL,California,SUN,Solar,-48,megawatthours
2024-03-23T11,CAL,California,SUN,Solar,-39,megawatthours
2024-03-23T10,CAL,California,SUN,Solar,-34,megawatthours
2024-03-23T09,CAL,California,SUN,Solar,-20,megawatthours
2024-03-23T08,CAL,California,SUN,Solar,27,megawatthours
2024-03-23T07,CAL,California,SUN,Solar,47,megawatthours
2024-03-23T06,CAL,California,SUN,Solar,69,megawatthours
2024-03-23T05,CAL,California,SUN,Solar,104,megawatthours
2024-03-23T04,CAL,California,SUN,Solar,12,megawatthours
2024-03-23T03,CAL,California,SUN,Solar,1962,megawatthours
2024-03-23T02,CAL,California,SUN,Solar,8691,megawatthours
2024-03-23T01,CAL,California,SUN,Solar,11598,megawatthours
2024-03-23T00,CAL,California,SUN,Solar,13207,megawatthours
2024-03-22T23,CAL,California,SUN,Solar,14028,megawatthours
2024-03-22T22,CAL,California,SUN,Solar,13954,megawatthours
2024-03-22T21,CAL,California,SUN,Solar,13947,megawatthours
2024-03-22T20,CAL,California,SUN,Solar,14212,megawatthours
2024-03-22T19,CAL,California,SUN,Solar,14583,megawatthours
2024-03-22T18,CAL,California,SUN,Solar,14007,megawatthours
2024-03-22T17,CAL,California,SUN,Solar,9678,megawatthours
2024-03-22T16,CAL,California,SUN,Solar,3258,megawatthours
2024-03-22T15,CAL,California,SUN,Solar,198,megawatthours
2024-03-22T14,CAL,California,SUN,Solar,-29,megawatthours
2024-03-22T13,CAL,California,SUN,Solar,9,megawatthours
2024-03-22T12,CAL,California,SUN,Solar,48,megawatthours
2024-03-22T11,CAL,California,SUN,Solar,-1,megawatthours
2024-03-22T10,CAL,California,SUN,Solar,-35,megawatthours
2024-03-22T09,CAL,California,SUN,Solar,-29,megawatthours
2024-03-22T08,CAL,California,SUN,Solar,-24,megawatthours
2024-03-22T07,CAL,California,SUN,Solar,-6,megawatthours
2024-03-22T06,CAL,California,SUN,Solar,0,megawatthours
2024-03-22T05,CAL,California,SUN,Solar,-25,megawatthours
2024-03-22T04,CAL,California,SUN,Solar,34,megawatthours
2024-03-22T03,CAL,California,SUN,Solar,2282,megawatthours
2024-03-22T02,CAL,California,SUN,Solar,8694,megawatthours
2024-03-22T01,CAL,California,SUN,Solar,11018,megawatthours
2024-03-22T00,CAL,California,SUN,Solar,12434,megawatthours
2024-03-21T23,CAL,California,SUN,Solar,12627,megawatthours
2024-03-21T22,CAL,California,SUN,Solar,12974,megawatthours
2024-03-21T21,CAL,California,SUN,Solar,13058,megawatthours
2024-03-21T20,CAL,California,SUN,Solar,13119,megawatthours
2024-03-21T19,CAL,California,SUN,Solar,13523,megawatthours
2024-03-21T18,CAL,California,SUN,Solar,13670,megawatthours
2024-03-21T17,CAL,California,SUN,Solar,12174,megawatthours
2024-03-21T16,CAL,California,SUN,Solar,3936,megawatthours
2024-03-21T15,CAL,California,SUN,Solar,365,megawatthours
2024-03-21T14,CAL,California,SUN,Solar,42,megawatthours
2024-03-21T13,CAL,California,SUN,Solar,60,megawatthours
2024-03-21T12,CAL,California,SUN,Solar,75,megawatthours
2024-03-21T11,CAL,California,SUN,Solar,105,megawatthours
2024-03-21T10,CAL,California,SUN,Solar,148,megawatthours
2024-03-21T09,CAL,California,SUN,Solar,177,megawatthours
2024-03-21T08,CAL,California,SUN,Solar,175,megawatthours
2024-03-21T07,CAL,California,SUN,Solar,166,megawatthours
2024-03-21T06,CAL,California,SUN,Solar,136,megawatthours
2024-03-21T05,CAL,California,SUN,Solar,138,megawatthours
2024-03-21T04,CAL,California,SUN,Solar,163,megawatthours
2024-03-21T03,CAL,California,SUN,Solar,2177,megawatthours
2024-03-21T02,CAL,California,SUN,Solar,9121,megawatthours
2024-03-21T01,CAL,California,SUN,Solar,10908,megawatthours
2024-03-21T00,CAL,California,SUN,Solar,12297,megawatthours
2024-03-20T23,CAL,California,SUN,Solar,13077,megawatthours
2024-03-20T22,CAL,California,SUN,Solar,13955,megawatthours
2024-03-20T21,CAL,California,SUN,Solar,14252,megawatthours
2024-03-20T20,CAL,California,SUN,Solar,14282,megawatthours
2024-03-20T19,CAL,California,SUN,Solar,14029,megawatthours
2024-03-20T18,CAL,California,SUN,Solar,14089,megawatthours
2024-03-20T17,CAL,California,SUN,Solar,11223,megawatthours
2024-03-20T16,CAL,California,SUN,Solar,3746,megawatthours
2024-03-20T15,CAL,California,SUN,Solar,313,megawatthours
2024-03-20T14,CAL,California,SUN,Solar,88,megawatthours
2024-03-20T13,CAL,California,SUN,Solar,106,megawatthours
2024-03-20T12,CAL,California,SUN,Solar,96,megawatthours
2024-03-20T11,CAL,California,SUN,Solar,117,megawatthours
2024-03-20T10,CAL,California,SUN,Solar,128,megawatthours
2024-03-20T09,CAL,California,SUN,Solar,134,megawatthours
2024-03-20T08,CAL,California,SUN,Solar,126,megawatthours
2024-03-20T07,CAL,California,SUN,Solar,128,megawatthours
2024-03-20T06,CAL,California,SUN,Solar,98,megawatthours
2024-03-20T05,CAL,California,SUN,Solar,106,megawatthours
2024-03-20T04,CAL,California,SUN,Solar,98,megawatthours
2024-03-20T03,CAL,California,SUN,Solar,2239,megawatthours
2024-03-20T02,CAL,California,SUN,Solar,9124,megawatthours
2024-03-20T01,CAL,California,SUN,Solar,11682,megawatthours
2024-03-20T00,CAL,California,SUN,Solar,12631,megawatthours
2024-03-19T23,CAL,California,SUN,Solar,13614,megawatthours
2024-03-19T22,CAL,California,SUN,Solar,14369,megawatthours
2024-03-19T21,CAL,California,SUN,Solar,14646,megawatthours
2024-03-19T20,CAL,California,SUN,Solar,14613,megawatthours
2024-03-19T19,CAL,California,SUN,Solar,14207,megawatthours
2024-03-19T18,CAL,California,SUN,Solar,13994,megawatthours
2024-03-19T17,CAL,California,SUN,Solar,10610,megawatthours
2024-03-19T16,CAL,California,SUN,Solar,3606,megawatthours
2024-03-19T15,CAL,California,SUN,Solar,356,megawatthours
2024-03-19T14,CAL,California,SUN,Solar,95,megawatthours
2024-03-19T13,CAL,California,SUN,Solar,58,megawatthours
2024-03-19T12,CAL,California,SUN,Solar,74,megawatthours
2024-03-19T11,CAL,California,SUN,Solar,73,megawatthours
2024-03-19T10,CAL,California,SUN,Solar,64,megawatthours
2024-03-19T09,CAL,California,SUN,Solar,56,megawatthours
2024-03-19T08,CAL,California,SUN,Solar,39,megawatthours
2024-03-19T07,CAL,California,SUN,Solar,26,megawatthours
2024-03-19T06,CAL,California,SUN,Solar,32,megawatthours
2024-03-19T05,CAL,California,SUN,Solar,-6,megawatthours
2024-03-19T04,CAL,California,SUN,Solar,-3,megawatthours
2024-03-19T03,CAL,California,SUN,Solar,1890,megawatthours
2024-03-19T02,CAL,California,SUN,Solar,7516,megawatthours
2024-03-19T01,CAL,California,SUN,Solar,9492,megawatthours
2024-03-19T00,CAL,California,SUN,Solar,11213,megawatthours
2024-03-18T23,CAL,California,SUN,Solar,12418,megawatthours
2024-03-18T22,CAL,California,SUN,Solar,12479,megawatthours
2024-03-18T21,CAL,California,SUN,Solar,13594,megawatthours
2024-03-18T20,CAL,California,SUN,Solar,14085,megawatthours
2024-03-18T19,CAL,California,SUN,Solar,14093,megawatthours
2024-03-18T18,CAL,California,SUN,Solar,12982,megawatthours
2024-03-18T17,CAL,California,SUN,Solar,10079,megawatthours
2024-03-18T16,CAL,California,SUN,Solar,3193,megawatthours
2024-03-18T15,CAL,California,SUN,Solar,266,megawatthours
2024-03-18T14,CAL,California,SUN,Solar,-31,megawatthours
2024-03-18T13,CAL,California,SUN,Solar,-40,megawatthours
2024-03-18T12,CAL,California,SUN,Solar,-41,megawatthours
2024-03-18T11,CAL,California,SUN,Solar,-23,megawatthours
2024-03-18T10,CAL,California,SUN,Solar,20,megawatthours
2024-03-18T09,CAL,California,SUN,Solar,75,megawatthours
2024-03-18T08,CAL,California,SUN,Solar,71,megawatthours
2024-03-18T07,CAL,California,SUN,Solar,54,megawatthours
2024-03-18T06,CAL,California,SUN,Solar,35,megawatthours
2024-03-18T05,CAL,California,SUN,Solar,39,megawatthours
2024-03-18T04,CAL,California,SUN,Solar,76,megawatthours
2024-03-18T03,CAL,California,SUN,Solar,1814,megawatthours
2024-03-18T02,CAL,California,SUN,Solar,7225,megawatthours
2024-03-18T01,CAL,California,SUN,Solar,9056,megawatthours
2024-03-18T00,CAL,California,SUN,Solar,9182,megawatthours
2024-03-17T23,CAL,California,SUN,Solar,10942,megawatthours
2024-03-17T22,CAL,California,SUN,Solar,11846,megawatthours
